BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII
α¹ Centauri,Rigil Kentaurus,0.751,1.332,0.94,-0.01,0.7,5800.0,14.66,-59.165,14h 39m 35.9s,-60° 50′ 07″,9.57,8.82,7.84,1.3995700995261713e-05,4.980661556863031e-05,2.119900812571223e-05,
α Boötis,Arcturus,0.09,11.111,2.46,-0.04,1.19,4850.0,14.261,19.183,14h 15m 39.7s,+19° 10′ 57″,9.26,14.02,10.84,3.4513949206485413e-06,5.120201255907134e-05,1.3499433422144121e-05,
α Carinae,Canopus,0.028,35.714,-0.47,-0.72,-0.57,7500.0,6.399,-51.304,06h 23m 57.1s,-52° 41′ 45″,8.46,7.27,7.45,5.1285507281999685e-05,9.578269044504062e-05,6.828346347989602e-05,x
α Canis Majoris,Sirius,0.375,2.667,-1.51,-1.46,-1.46,9750.0,6.752,-15.284,06h 45m 08.9s,-16° 42′ 58″,7.44,6.78,6.8,0.00013365790686647782,0.00018935947105807747,0.00015499423371790786,x
α Lyrae,Vega,0.123,8.13,0.02,0.03,0.03,10000.0,18.616,38.784,18h 36m 56.3s,+38° 47′ 01″,3.49,3.3,3.28,3.265838132466785e-05,4.800506165352719e-05,3.9293031946035225e-05,x
α Aurigae,Capella,0.073,13.699,1.32,0.08,0.88,5500.0,5.278,45.998,05h 16m 41.4s,+45° 59′ 53″,9.67,9.59,8.41,9.862673486697585e-06,4.584447797062045e-05,1.7960380836692698e-05,
β Orionis,Rigel,0.013,76.923,-0.57,0.12,0.09,14000.0,5.242,-7.798,05h 14m 32.3s,-08° 12′ 06″,2.61,2.16,2.01,5.623344051285555e-05,4.4186238440973915e-05,3.718052701007172e-05,x
α Canis Minoris,Procyon,0.288,3.472,0.82,0.38,0.8,6750.0,7.655,5.225,07h 39m 18.1s,+05° 13′ 30″,6.26,5.33,5.04,1.563128406853369e-05,3.477659292743202e-05,1.9333725194243597e-05,x
α Eridani,Achernar,0.026,38.462,-0.36,0.46,0.3,24000.0,1.629,-56.763,01h 37m 42.9s,-57° 14′ 12″,1.31,1.24,1.12,4.634412166496023e-05,3.2306285876313214e-05,3.064188944527055e-05,x
α Orionis,Betelgeuse,0.005,200.0,4.41,0.5,2.35,3350.0,5.92,7.407,05h 55m 10.3s,+07° 24′ 25″,23.39,37.41,28.54,5.727889822704803e-07,3.113773597308396e-05,4.637837644322793e-06,
β Centauri,Hadar,0.009,111.111,-0.6,0.61,0.38,28000.0,14.064,-59.627,14h 03m 49.4s,-60° 22′ 23″,1.3,1.07,0.98,5.780889334694061e-05,2.8137598724981264e-05,2.8465285322083247e-05,
α Aquilae,Altair,0.198,5.051,1.07,0.77,0.99,8250.0,19.846,8.868,19h 50m 47.0s,+08° 52′ 06″,3.28,3.11,2.98,1.2416370280632112e-05,2.428214408533408e-05,1.6229888690929446e-05,x
α Tauri,Aldebaran,0.048,20.833,4.29,0.85,2.39,4250.0,4.599,16.509,04h 35m 55.2s,+16° 30′ 33″,7.09,13.72,10.01,6.397269630315283e-07,2.25572956542226e-05,4.470082528454151e-06,
α Scorpii,Antares,0.024,41.667,4.13,0.96,2.79,3350.0,16.49,-25.568,16h 29m 24.4s,-26° 25′ 55″,26.61,30.27,23.31,7.413011188828226e-07,2.0383888346536588e-05,3.092541535748209e-06,
α Virginis,Spica,0.023,43.478,-0.18,0.98,0.75,28000.0,13.42,-10.839,13h 25m 11.6s,-11° 09′ 41″,1.08,0.9,0.83,3.926401035882152e-05,2.001184045496137e-05,2.0244895591063375e-05,x
β Geminorum,Pollux,0.094,10.638,2.99,1.14,2.14,5000.0,7.755,28.026,07h 45m 18.9s,+28° 01′ 34″,6.42,7.5,6.33,2.1183350671128184e-06,1.7269789013966867e-05,5.6275004878880265e-06,""
α Piscis Austrini,Fomalhaut,0.149,6.711,1.33,1.16,1.25,9250.0,22.961,-28.378,22h 57m 39.1s,-29° 37′ 20″,2.24,2.18,2.14,9.772251952666872e-06,1.695457984085113e-05,1.277366556141614e-05,x
β Crucis,Mimosa,,,0.02,1.25,1.02,30000.0,12.795,-58.311,12h 47m 43.2s,-59° 41′ 19″,0.94,0.77,0.7,3.265838132466785e-05,1.5605835753766324e-05,1.5787579166310762e-05,x
α Cygni,Deneb,-0.006,-166.667,1.1,1.25,1.34,9500.0,20.691,45.28,20h 41m 25.9s,+45° 16′ 49″,2.36,2.02,1.96,1.2077989719871693e-05,1.5605835753766324e-05,1.1757514995723681e-05,
